"temperature","percent_positive...100"
12,4.53402139796153
12.1,4.53425989219569
12.2,4.53450965025479
12.3,4.53477112411524
12.4,4.53504478296973
12.5,4.53533111438801
12.6,4.53563062564494
12.7,4.53594384524362
12.8,4.53627132466858
12.9,4.53661364040764
13,4.53697139628908
13.1,4.53734522619109
13.2,4.53773579719479
13.3,4.53814381325761
13.4,4.53857001951397
13.5,4.53901520732264
13.6,4.53948022021461
13.7,4.53996596093037
13.8,4.54047339978483
13.9,4.54100358465483
14,4.54155765297362
14.1,4.54213684621629
14.2,4.5427425275105
14.3,4.54337620319808
14.4,4.54403954944668
14.5,4.54473444537975
14.6,4.54546301472634
14.7,4.54622767874705
14.8,4.54703122430372
14.9,4.54787689258993
15,4.54876849655449
15.1,4.54971057896756
15.2,4.55070862936569
15.3,4.55176938848177
15.4,4.55290128653101
15.5,4.55411509334734
15.6,4.55542491742595
15.7,4.55684980751507
15.8,4.5584164564783
15.9,4.56016407114788
16,4.56215390641208
16.1,4.56449014506162
16.2,4.56737355480918
16.3,4.57127859394314
16.4,4.57786453247013
16.5,4.59937388721636
16.6,4.75219051472335
16.7,5.19523899929825
16.8,5.7363220450935
16.9,6.30191210884239
17,6.88480753948734
17.1,7.48360353700646
17.2,8.09796208703348
17.3,8.727950791196
17.4,9.3737503501158
17.5,10.0354947512267
17.6,10.7131954530178
17.7,11.4067143939867
17.8,12.1157623210994
17.9,12.8399089880601
18,13.5785981588486
18.1,14.3311638838601
18.2,15.0968463539751
18.3,15.8748065703905
18.4,16.664139537171
18.5,17.463885919048
18.6,18.2730422246612
18.7,19.0905696327517
18.8,19.9154016043526
18.9,20.7464504321524
19,21.5826128763578
19.1,22.4227750285455
19.2,23.2658165334959
19.3,24.1106142853671
19.4,24.9560456998057
19.5,25.8009916484792
19.6,26.6443391276548
19.7,27.4849837182243
19.8,28.321831881556
19.9,29.1538031234223
20,29.9798320480064
20.1,30.7988703148724
20.2,31.609888504251
20.3,32.4118778901643
20.4,33.2038521161316
20.5,33.9848487650341
20.6,34.7539308125834
20.7,35.5101879528196
20.8,36.2527377839089
20.9,36.9807268431389
21,37.6933314812376
21.1,38.3897585678351
21.2,39.0692460218443
21.3,39.7310631629115
21.4,40.3745108822052
21.5,40.9989216333247
21.6,41.6036592462875
21.7,42.1881185697086
21.8,42.751724948247
21.9,43.2939335441254
22,43.8142285130385
22.1,44.3121220460262
22.2,44.7871532898508
22.3,45.2388871592322
22.4,45.6669130547545
22.5,46.0708435005248
22.6,46.4503127157786
22.7,46.8049751344651
22.8,47.1345038865564
22.9,47.4385892543641
23,47.7169371165672
23.1,47.9692673918922
23.2,48.1953124936274
23.3,48.3948158052307
23.4,48.5675301862667
23.5,48.7132165168891
23.6,48.8316422879611
23.7,48.9225802427229
23.8,48.9858070746943
23.9,49.0211021852068
24,49.0282465026189
24.1,49.0070213638383
24.2,48.9572074572933
24.3,48.8785838248949
24.4,48.7709269188319
24.5,48.6340097072018
24.6,48.4676008204768
24.7,48.2714637286014
24.8,48.0453559360686
24.9,47.7890281795882
25,47.5022236098406
25.1,47.184676935273
25.2,46.8361135018407
25.3,46.4562482777927
25.4,46.0447847070527
25.5,45.6014133881729
25.6,45.1258105279465
25.7,44.6176361092898
25.8,44.0765317015005
25.9,43.5021178268714
26,42.8939907801737
26.1,42.2517187758212
26.2,41.5748372699079
26.3,40.8628432695033
26.4,40.1151883965977
26.5,39.3312704157903
26.6,38.5104228581585
26.7,37.6519022720411
26.8,36.7548724946812
26.9,35.8183851523793
27,34.8413553396998
27.1,33.8225310677075
27.2,32.7604545576901
27.3,31.6534127118708
27.4,30.4993729905085
27.5,29.2958992578687
27.6,28.0400395753032
27.7,26.7281737997842
27.8,25.3558020653397
27.9,23.9172436469932
28,22.4051950742446
28.1,20.8100576863513
28.2,19.1188677919962
28.3,17.3134973363784
28.4,15.3674037728779
28.5,13.2391738997438
28.6,10.8578866688317
28.7,8.08342302846285
28.8,4.9754653908005
28.9,4.64181750152963
29,4.62265662273302
29.1,4.61274642146635
29.2,4.60590346846186
29.3,4.60061264131751
29.4,4.59626298443268
29.5,4.59254637925745
29.6,4.58928555590185
29.7,4.58636919148011
29.8,4.58372284878418
29.9,4.58129435179173
30,4.57904576143383
30.1,4.57694866720024
30.2,4.57498127546755
30.3,4.57312652913653
30.4,4.57137084880247
30.5,4.56970326398012
30.6,4.56811479768197
30.7,4.56659802050674
30.8,4.56514672110638
30.9,4.56375565838658
31,4.5624203722606
31.1,4.56113703715114
31.2,4.55990234715277
31.3,4.55871342503518
31.4,4.55756774941363
31.5,4.55646309594258
31.6,4.55539748944974
31.7,4.5543691646973
31.8,4.55337653400615
31.9,4.55241816039257
32,4.55149273516413
32.1,4.55059905915316
32.2,4.54973602693557
32.3,4.54890261351689
32.4,4.54809786307014
32.5,4.54732087938684
32.6,4.5465708177668
32.7,4.54584687812353
32.8,4.54514829911704
32.9,4.5444743531608
33,4.54382434217485
33.1,4.54319759397427
33.2,4.54259345920606
33.3,4.54201130878148
33.4,4.54145053159586
33.5,4.54091053276218
33.6,4.54039073204245
33.7,4.53989056254938
33.8,4.53940946967253
33.9,4.53894691019383
34,4.5385023515636
34.1,4.5380752713159
34.2,4.53766515660151
34.3,4.53727150381785
34.4,4.53689381832695
34.5,4.5365316142413
34.6,4.53618441426863
34.7,4.53585174960479
34.8,4.53553315986667
34.9,4.53522819305486
35,4.53493640554261
35.1,4.53465736208172
35.2,4.53439063582382
35.3,4.5341358083498
35.4,4.5338924697052
35.5,4.53366021843848
35.6,4.53343866163904
35.7,4.53322741497272
35.8,4.5330261027133
35.9,4.53283435776921
36,4.53265182170312
36.1,4.53003839257126
36.2,4.5299849510042
36.3,4.52993901269785
36.4,4.52989949448092
36.5,4.52986547506909
36.6,4.52983616993465
36.7,4.52981091020568
36.8,4.52978912494134
36.9,4.52977032622347
37,4.52975409661437
